athlete	team	medal	year	sport
athlete_000000	Japan	NA	2000	sport_0
athlete_000001	Italy	Gold	2001	sport_1
athlete_000002	United States	NA	2002	sport_2
athlete_000003	United States	Gold	2003	sport_3
athlete_000004	Soviet Union	NA	2004	sport_4
athlete_000005	Italy	Silver	2005	sport_5
athlete_000006	Soviet Union	NA	2006	sport_6
athlete_000007	United States	Bronze	2007	sport_7
athlete_000008	Japan	NA	2008	sport_8
athlete_000009	Italy	NA	2009	sport_9
athlete_000010	United States	Gold	2010	sport_10
athlete_000011	Japan	NA	2011	sport_11
athlete_000012	Kenya	Silver	2012	sport_12
athlete_000013	United States	Silver	2013	sport_13
athlete_000014	Italy	Bronze	2014	sport_14
athlete_000015	Kenya	NA	2015	sport_15
athlete_000016	Germany	NA	2016	sport_16
athlete_000017	Kenya	NA	2017	sport_17
athlete_000018	Italy	Bronze	2018	sport_18
athlete_000019	Soviet Union	Silver	2019	sport_19
athlete_000020	Japan	NA	2000	sport_20
athlete_000021	Italy	Bronze	2001	sport_21
athlete_000022	Japan	Silver	2002	sport_22
athlete_000023	France	NA	2003	sport_23
athlete_000024	United States	Bronze	2004	sport_24
athlete_000025	Kenya	NA	2005	sport_25
athlete_000026	Italy	NA	2006	sport_26
athlete_000027	Soviet Union	Bronze	2007	sport_27
athlete_000028	Germany	Bronze	2008	sport_28
athlete_000029	United States	NA	2009	sport_29
athlete_000030	United States	NA	2010	sport_30
athlete_000031	Italy	Silver	2011	sport_31
athlete_000032	United States	Bronze	2012	sport_32
athlete_000033	Germany	Gold	2013	sport_33
athlete_000034	France	Bronze	2014	sport_34
athlete_000035	Japan	NA	2015	sport_35
athlete_000036	United States	NA	2016	sport_36
athlete_000037	United States	Bronze	2017	sport_37
athlete_000038	United States	Bronze	2018	sport_38
athlete_000039	United States	Silver	2019	sport_39
athlete_000040	Japan	Silver	2000	sport_0
athlete_000041	Soviet Union	Bronze	2001	sport_1
athlete_000042	Japan	NA	2002	sport_2
athlete_000043	France	NA	2003	sport_3
athlete_000044	France	Silver	2004	sport_4
athlete_000045	Italy	Bronze	2005	sport_5
athlete_000046	United States	Bronze	2006	sport_6
athlete_000047	United States	NA	2007	sport_7
athlete_000048	Germany	NA	2008	sport_8
athlete_000049	Kenya	NA	2009	sport_9
athlete_000050	France	NA	2010	sport_10
athlete_000051	United States	Bronze	2011	sport_11
athlete_000052	France	NA	2012	sport_12
athlete_000053	Japan	NA	2013	sport_13
athlete_000054	United States	NA	2014	sport_14
athlete_000055	United States	NA	2015	sport_15
athlete_000056	United States	Bronze	2016	sport_16
athlete_000057	Italy	NA	2017	sport_17
athlete_000058	Italy	Silver	2018	sport_18
athlete_000059	Germany	NA	2019	sport_19
athlete_000060	Italy	Silver	2000	sport_20
athlete_000061	United States	Gold	2001	sport_21
athlete_000062	United States	NA	2002	sport_22
athlete_000063	Kenya	Silver	2003	sport_23
athlete_000064	United States	NA	2004	sport_24
athlete_000065	United States	NA	2005	sport_25
athlete_000066	Germany	Silver	2006	sport_26
athlete_000067	United States	Silver	2007	sport_27
athlete_000068	France	NA	2008	sport_28
athlete_000069	Soviet Union	NA	2009	sport_29
athlete_000070	France	Silver	2010	sport_30
athlete_000071	Japan	Bronze	2011	sport_31
athlete_000072	Japan	NA	2012	sport_32
athlete_000073	France	NA	2013	sport_33
athlete_000074	Soviet Union	Gold	2014	sport_34
athlete_000075	France	Silver	2015	sport_35
athlete_000076	United States	NA	2016	sport_36
athlete_000077	France	NA	2017	sport_37
athlete_000078	Italy	NA	2018	sport_38
athlete_000079	Soviet Union	Silver	2019	sport_39
athlete_000080	Italy	NA	2000	sport_0
athlete_000081	Japan	Bronze	2001	sport_1
athlete_000082	Germany	NA	2002	sport_2
athlete_000083	United States	NA	2003	sport_3
athlete_000084	United States	Silver	2004	sport_4
athlete_000085	Kenya	NA	2005	sport_5
athlete_000086	United States	NA	2006	sport_6
athlete_000087	United States	NA	2007	sport_7
athlete_000088	Italy	Bronze	2008	sport_8
athlete_000089	France	NA	2009	sport_9
athlete_000090	Italy	Gold	2010	sport_10
athlete_000091	Japan	NA	2011	sport_11
athlete_000092	United States	Bronze	2012	sport_12
athlete_000093	United States	Gold	2013	sport_13
athlete_000094	Kenya	Gold	2014	sport_14
athlete_000095	United States	Gold	2015	sport_15
athlete_000096	Germany	NA	2016	sport_16
athlete_000097	United States	Silver	2017	sport_17
athlete_000098	Germany	NA	2018	sport_18
athlete_000099	United States	NA	2019	sport_19
athlete_000100	Italy	NA	2000	sport_20
athlete_000101	United States	Bronze	2001	sport_21
athlete_000102	Soviet Union	Silver	2002	sport_22
athlete_000103	United States	Silver	2003	sport_23
athlete_000104	Japan	NA	2004	sport_24
athlete_000105	Soviet Union	NA	2005	sport_25
athlete_000106	Japan	Silver	2006	sport_26
athlete_000107	Kenya	Gold	2007	sport_27
athlete_000108	France	Gold	2008	sport_28
athlete_000109	United States	Silver	2009	sport_29
athlete_000110	United States	NA	2010	sport_30
athlete_000111	Japan	NA	2011	sport_31
athlete_000112	Japan	Silver	2012	sport_32
athlete_000113	France	NA	2013	sport_33
athlete_000114	United States	Silver	2014	sport_34
athlete_000115	Italy	Gold	2015	sport_35
athlete_000116	Italy	NA	2016	sport_36
athlete_000117	France	NA	2017	sport_37
athlete_000118	Italy	Bronze	2018	sport_38
athlete_000119	France	Gold	2019	sport_39
athlete_000120	Germany	Bronze	2000	sport_0
athlete_000121	Italy	Silver	2001	sport_1
athlete_000122	Germany	Silver	2002	sport_2
athlete_000123	Kenya	Bronze	2003	sport_3
athlete_000124	Germany	Gold	2004	sport_4
athlete_000125	Japan	Silver	2005	sport_5
athlete_000126	Italy	Silver	2006	sport_6
athlete_000127	Italy	Silver	2007	sport_7
athlete_000128	Italy	Bronze	2008	sport_8
athlete_000129	Soviet Union	Silver	2009	sport_9
athlete_000130	Kenya	NA	2010	sport_10
athlete_000131	United States	NA	2011	sport_11
athlete_000132	Italy	NA	2012	sport_12
athlete_000133	United States	Gold	2013	sport_13
athlete_000134	Japan	Silver	2014	sport_14
athlete_000135	United States	Bronze	2015	sport_15
athlete_000136	United States	Silver	2016	sport_16
athlete_000137	United States	Gold	2017	sport_17
athlete_000138	France	Gold	2018	sport_18
athlete_000139	Soviet Union	Bronze	2019	sport_19
athlete_000140	United States	NA	2000	sport_20
athlete_000141	United States	Gold	2001	sport_21
athlete_000142	Italy	Bronze	2002	sport_22
athlete_000143	Soviet Union	NA	2003	sport_23
athlete_000144	France	NA	2004	sport_24
athlete_000145	France	Gold	2005	sport_25
athlete_000146	United States	NA	2006	sport_26
athlete_000147	United States	NA	2007	sport_27
athlete_000148	United States	NA	2008	sport_28
athlete_000149	United States	Silver	2009	sport_29
athlete_000150	Kenya	Gold	2010	sport_30
athlete_000151	Germany	Bronze	2011	sport_31
athlete_000152	Italy	NA	2012	sport_32
athlete_000153	United States	NA	2013	sport_33
athlete_000154	Italy	NA	2014	sport_34
athlete_000155	Japan	Silver	2015	sport_35
athlete_000156	United States	Bronze	2016	sport_36
athlete_000157	United States	NA	2017	sport_37
athlete_000158	United States	Silver	2018	sport_38
athlete_000159	Soviet Union	NA	2019	sport_39
athlete_000160	Soviet Union	Bronze	2000	sport_0
athlete_000161	United States	Gold	2001	sport_1
athlete_000162	Japan	Gold	2002	sport_2
athlete_000163	Germany	NA	2003	sport_3
athlete_000164	Japan	Silver	2004	sport_4
athlete_000165	Japan	NA	2005	sport_5
athlete_000166	United States	NA	2006	sport_6
athlete_000167	United States	Gold	2007	sport_7
athlete_000168	United States	Gold	2008	sport_8
athlete_000169	France	NA	2009	sport_9
athlete_000170	Japan	NA	2010	sport_10
athlete_000171	Italy	NA	2011	sport_11
athlete_000172	United States	NA	2012	sport_12
athlete_000173	Germany	NA	2013	sport_13
athlete_000174	Soviet Union	Gold	2014	sport_14
athlete_000175	France	NA	2015	sport_15
athlete_000176	Soviet Union	Bronze	2016	sport_16
athlete_000177	Germany	NA	2017	sport_17
athlete_000178	France	Silver	2018	sport_18
athlete_000179	United States	NA	2019	sport_19
athlete_000180	United States	NA	2000	sport_20
athlete_000181	United States	NA	2001	sport_21
athlete_000182	United States	NA	2002	sport_22
athlete_000183	France	NA	2003	sport_23
athlete_000184	Kenya	NA	2004	sport_24
athlete_000185	Germany	NA	2005	sport_25
athlete_000186	Kenya	NA	2006	sport_26
athlete_000187	Germany	NA	2007	sport_27
athlete_000188	United States	Bronze	2008	sport_28
athlete_000189	Soviet Union	NA	2009	sport_29
athlete_000190	Italy	NA	2010	sport_30
athlete_000191	Germany	NA	2011	sport_31
athlete_000192	Japan	Gold	2012	sport_32
athlete_000193	Japan	Silver	2013	sport_33
athlete_000194	Japan	Bronze	2014	sport_34
athlete_000195	Italy	Silver	2015	sport_35
athlete_000196	Italy	Silver	2016	sport_36
athlete_000197	Japan	Gold	2017	sport_37
athlete_000198	Italy	NA	2018	sport_38
athlete_000199	United States	Silver	2019	sport_39
athlete_000200	France	Bronze	2000	sport_0
athlete_000201	United States	Gold	2001	sport_1
athlete_000202	United States	Gold	2002	sport_2
athlete_000203	Japan	NA	2003	sport_3
athlete_000204	Italy	Silver	2004	sport_4
athlete_000205	Germany	NA	2005	sport_5
athlete_000206	France	Bronze	2006	sport_6
athlete_000207	Kenya	Gold	2007	sport_7
athlete_000208	Japan	Bronze	2008	sport_8
athlete_000209	United States	NA	2009	sport_9
athlete_000210	United States	Gold	2010	sport_10
athlete_000211	Italy	Silver	2011	sport_11
athlete_000212	United States	NA	2012	sport_12
athlete_000213	Soviet Union	Bronze	2013	sport_13
athlete_000214	Japan	NA	2014	sport_14
athlete_000215	United States	NA	2015	sport_15
athlete_000216	Germany	NA	2016	sport_16
athlete_000217	Soviet Union	Bronze	2017	sport_17
athlete_000218	United States	Silver	2018	sport_18
athlete_000219	Germany	NA	2019	sport_19
athlete_000220	Italy	NA	2000	sport_20
athlete_000221	Soviet Union	NA	2001	sport_21
athlete_000222	France	NA	2002	sport_22
athlete_000223	Japan	Bronze	2003	sport_23
athlete_000224	United States	Gold	2004	sport_24
athlete_000225	United States	Bronze	2005	sport_25
athlete_000226	Soviet Union	Silver	2006	sport_26
athlete_000227	Germany	Silver	2007	sport_27
athlete_000228	United States	Silver	2008	sport_28
athlete_000229	Germany	NA	2009	sport_29
athlete_000230	Kenya	Gold	2010	sport_30
athlete_000231	Japan	Bronze	2011	sport_31
athlete_000232	Italy	Bronze	2012	sport_32
athlete_000233	United States	Bronze	2013	sport_33
athlete_000234	Germany	Bronze	2014	sport_34
athlete_000235	Kenya	NA	2015	sport_35
athlete_000236	Kenya	NA	2016	sport_36
athlete_000237	United States	Silver	2017	sport_37
athlete_000238	Kenya	Bronze	2018	sport_38
athlete_000239	Italy	NA	2019	sport_39
athlete_000240	Germany	NA	2000	sport_0
athlete_000241	United States	NA	2001	sport_1
athlete_000242	Japan	Gold	2002	sport_2
athlete_000243	Germany	Silver	2003	sport_3
athlete_000244	Japan	NA	2004	sport_4
athlete_000245	Japan	NA	2005	sport_5
athlete_000246	Soviet Union	NA	2006	sport_6
athlete_000247	Germany	NA	2007	sport_7
athlete_000248	Soviet Union	NA	2008	sport_8
athlete_000249	United States	NA	2009	sport_9
athlete_000250	Italy	Silver	2010	sport_10
athlete_000251	United States	Bronze	2011	sport_11
athlete_000252	Kenya	NA	2012	sport_12
athlete_000253	United States	NA	2013	sport_13
athlete_000254	Italy	Silver	2014	sport_14
athlete_000255	United States	Silver	2015	sport_15
athlete_000256	Germany	NA	2016	sport_16
athlete_000257	France	NA	2017	sport_17
athlete_000258	France	NA	2018	sport_18
athlete_000259	Germany	Bronze	2019	sport_19
athlete_000260	United States	NA	2000	sport_20
athlete_000261	Soviet Union	NA	2001	sport_21
athlete_000262	Kenya	Bronze	2002	sport_22
athlete_000263	Soviet Union	NA	2003	sport_23
athlete_000264	Japan	NA	2004	sport_24
athlete_000265	United States	Bronze	2005	sport_25
athlete_000266	United States	NA	2006	sport_26
athlete_000267	Germany	NA	2007	sport_27
athlete_000268	United States	Gold	2008	sport_28
athlete_000269	United States	Bronze	2009	sport_29
athlete_000270	Germany	NA	2010	sport_30
athlete_000271	Germany	NA	2011	sport_31
athlete_000272	Japan	NA	2012	sport_32
athlete_000273	Kenya	Bronze	2013	sport_33
athlete_000274	United States	NA	2014	sport_34
athlete_000275	United States	NA	2015	sport_35
athlete_000276	Kenya	NA	2016	sport_36
athlete_000277	United States	Silver	2017	sport_37
athlete_000278	United States	NA	2018	sport_38
athlete_000279	Germany	Silver	2019	sport_39
athlete_000280	United States	NA	2000	sport_0
athlete_000281	United States	Silver	2001	sport_1
athlete_000282	Soviet Union	NA	2002	sport_2
athlete_000283	Soviet Union	NA	2003	sport_3
athlete_000284	Germany	Bronze	2004	sport_4
athlete_000285	Japan	NA	2005	sport_5
athlete_000286	United States	Silver	2006	sport_6
athlete_000287	Kenya	NA	2007	sport_7
athlete_000288	Germany	NA	2008	sport_8
athlete_000289	Italy	Bronze	2009	sport_9
athlete_000290	Germany	Silver	2010	sport_10
athlete_000291	Italy	Gold	2011	sport_11
athlete_000292	United States	Silver	2012	sport_12
athlete_000293	United States	NA	2013	sport_13
athlete_000294	United States	NA	2014	sport_14
athlete_000295	United States	Silver	2015	sport_15
athlete_000296	United States	Bronze	2016	sport_16
athlete_000297	Germany	Gold	2017	sport_17
athlete_000298	Germany	Silver	2018	sport_18
athlete_000299	Italy	Bronze	2019	sport_19
athlete_000300	France	Gold	2000	sport_20
athlete_000301	United States	Bronze	2001	sport_21
athlete_000302	Italy	NA	2002	sport_22
athlete_000303	United States	NA	2003	sport_23
athlete_000304	Germany	Gold	2004	sport_24
athlete_000305	Soviet Union	Bronze	2005	sport_25
athlete_000306	United States	NA	2006	sport_26
athlete_000307	Japan	NA	2007	sport_27
athlete_000308	Germany	Bronze	2008	sport_28
athlete_000309	France	NA	2009	sport_29
athlete_000310	Kenya	NA	2010	sport_30
athlete_000311	Germany	Bronze	2011	sport_31
athlete_000312	United States	Silver	2012	sport_32
athlete_000313	Kenya	NA	2013	sport_33
athlete_000314	Germany	Silver	2014	sport_34
athlete_000315	Soviet Union	NA	2015	sport_35
athlete_000316	Japan	Gold	2016	sport_36
athlete_000317	Kenya	NA	2017	sport_37
athlete_000318	France	Gold	2018	sport_38
athlete_000319	United States	Gold	2019	sport_39
athlete_000320	United States	NA	2000	sport_0
athlete_000321	Kenya	NA	2001	sport_1
athlete_000322	Kenya	Gold	2002	sport_2
athlete_000323	Italy	Bronze	2003	sport_3
athlete_000324	France	NA	2004	sport_4
athlete_000325	Italy	NA	2005	sport_5
athlete_000326	Italy	Bronze	2006	sport_6
athlete_000327	Italy	Bronze	2007	sport_7
athlete_000328	Kenya	NA	2008	sport_8
athlete_000329	United States	Gold	2009	sport_9
athlete_000330	United States	NA	2010	sport_10
athlete_000331	United States	NA	2011	sport_11
athlete_000332	United States	NA	2012	sport_12
athlete_000333	Italy	Silver	2013	sport_13
athlete_000334	United States	Bronze	2014	sport_14
athlete_000335	United States	Gold	2015	sport_15
athlete_000336	Japan	Bronze	2016	sport_16
athlete_000337	Soviet Union	Bronze	2017	sport_17
athlete_000338	Italy	Gold	2018	sport_18
athlete_000339	Soviet Union	Silver	2019	sport_19
athlete_000340	United States	Gold	2000	sport_20
athlete_000341	Germany	Gold	2001	sport_21
athlete_000342	Italy	Gold	2002	sport_22
athlete_000343	Japan	NA	2003	sport_23
athlete_000344	France	NA	2004	sport_24
athlete_000345	United States	NA	2005	sport_25
athlete_000346	Soviet Union	Gold	2006	sport_26
athlete_000347	Soviet Union	NA	2007	sport_27
athlete_000348	Japan	NA	2008	sport_28
athlete_000349	United States	NA	2009	sport_29
athlete_000350	France	Silver	2010	sport_30
athlete_000351	Italy	NA	2011	sport_31
athlete_000352	Japan	Gold	2012	sport_32
athlete_000353	Kenya	NA	2013	sport_33
athlete_000354	Soviet Union	NA	2014	sport_34
athlete_000355	Germany	NA	2015	sport_35
athlete_000356	Kenya	Silver	2016	sport_36
athlete_000357	Soviet Union	NA	2017	sport_37
athlete_000358	United States	Silver	2018	sport_38
athlete_000359	France	NA	2019	sport_39
athlete_000360	United States	Silver	2000	sport_0
athlete_000361	Japan	NA	2001	sport_1
athlete_000362	Soviet Union	NA	2002	sport_2
athlete_000363	Italy	NA	2003	sport_3
athlete_000364	Soviet Union	Gold	2004	sport_4
athlete_000365	France	NA	2005	sport_5
athlete_000366	United States	NA	2006	sport_6
athlete_000367	Germany	Bronze	2007	sport_7
athlete_000368	Soviet Union	Gold	2008	sport_8
athlete_000369	France	Silver	2009	sport_9
athlete_000370	Kenya	NA	2010	sport_10
athlete_000371	United States	Bronze	2011	sport_11
athlete_000372	Japan	Gold	2012	sport_12
athlete_000373	United States	NA	2013	sport_13
athlete_000374	France	NA	2014	sport_14
athlete_000375	Germany	NA	2015	sport_15
athlete_000376	United States	Silver	2016	sport_16
athlete_000377	United States	Silver	2017	sport_17
athlete_000378	United States	NA	2018	sport_18
athlete_000379	France	NA	2019	sport_19
athlete_000380	Germany	NA	2000	sport_20
athlete_000381	United States	NA	2001	sport_21
athlete_000382	France	NA	2002	sport_22
athlete_000383	Soviet Union	Bronze	2003	sport_23
athlete_000384	United States	NA	2004	sport_24
athlete_000385	United States	NA	2005	sport_25
athlete_000386	Kenya	NA	2006	sport_26
athlete_000387	France	Silver	2007	sport_27
athlete_000388	Germany	NA	2008	sport_28
athlete_000389	United States	Bronze	2009	sport_29
athlete_000390	Japan	Silver	2010	sport_30
athlete_000391	Kenya	Gold	2011	sport_31
athlete_000392	Soviet Union	Silver	2012	sport_32
athlete_000393	Germany	Silver	2013	sport_33
athlete_000394	United States	NA	2014	sport_34
athlete_000395	France	NA	2015	sport_35
athlete_000396	United States	NA	2016	sport_36
athlete_000397	France	Silver	2017	sport_37
athlete_000398	France	NA	2018	sport_38
athlete_000399	Kenya	Bronze	2019	sport_39
athlete_000400	United States	NA	2000	sport_0
athlete_000401	Italy	Silver	2001	sport_1
athlete_000402	United States	Gold	2002	sport_2
athlete_000403	Kenya	Gold	2003	sport_3
athlete_000404	Soviet Union	Bronze	2004	sport_4
athlete_000405	Kenya	NA	2005	sport_5
athlete_000406	Soviet Union	NA	2006	sport_6
athlete_000407	United States	NA	2007	sport_7
athlete_000408	Japan	NA	2008	sport_8
athlete_000409	Germany	Bronze	2009	sport_9
athlete_000410	United States	NA	2010	sport_10
athlete_000411	Soviet Union	Bronze	2011	sport_11
athlete_000412	France	NA	2012	sport_12
athlete_000413	France	Bronze	2013	sport_13
athlete_000414	Japan	Bronze	2014	sport_14
athlete_000415	United States	NA	2015	sport_15
athlete_000416	Soviet Union	Bronze	2016	sport_16
athlete_000417	Soviet Union	Silver	2017	sport_17
athlete_000418	Japan	Bronze	2018	sport_18
athlete_000419	United States	NA	2019	sport_19
athlete_000420	Germany	NA	2000	sport_20
athlete_000421	United States	NA	2001	sport_21
athlete_000422	Italy	Gold	2002	sport_22
athlete_000423	Kenya	NA	2003	sport_23
athlete_000424	Germany	Gold	2004	sport_24
athlete_000425	Italy	NA	2005	sport_25
athlete_000426	Japan	Gold	2006	sport_26
athlete_000427	United States	NA	2007	sport_27
athlete_000428	Kenya	Bronze	2008	sport_28
athlete_000429	Germany	NA	2009	sport_29
athlete_000430	United States	Gold	2010	sport_30
athlete_000431	Germany	NA	2011	sport_31
athlete_000432	Soviet Union	Gold	2012	sport_32
athlete_000433	United States	Gold	2013	sport_33
athlete_000434	United States	Silver	2014	sport_34
athlete_000435	United States	NA	2015	sport_35
athlete_000436	Soviet Union	Gold	2016	sport_36
athlete_000437	Italy	Silver	2017	sport_37
athlete_000438	United States	Bronze	2018	sport_38
athlete_000439	United States	Gold	2019	sport_39
athlete_000440	Italy	Bronze	2000	sport_0
athlete_000441	France	NA	2001	sport_1
athlete_000442	Soviet Union	NA	2002	sport_2
athlete_000443	United States	Bronze	2003	sport_3
athlete_000444	United States	NA	2004	sport_4
athlete_000445	Germany	Silver	2005	sport_5
athlete_000446	France	NA	2006	sport_6
athlete_000447	Japan	NA	2007	sport_7
athlete_000448	United States	NA	2008	sport_8
athlete_000449	Japan	NA	2009	sport_9
athlete_000450	United States	Bronze	2010	sport_10
athlete_000451	United States	NA	2011	sport_11
