Transaction_date,Product,Price,Country
1/1/09 6:17,Product1,1200,United States
1/2/09 6:17,Product2,1200,United States
1/3/09 6:17,Product3,1200,United States
1/4/09 6:17,Product1,1200,United States
1/5/09 6:17,Product2,1200,United States
1/6/09 6:17,Product3,1200,United States
1/7/09 6:17,Product1,1200,United States
1/8/09 6:17,Product2,1200,United States
1/9/09 6:17,Product3,1200,United States
1/10/09 6:17,Product1,1200,United States
1/11/09 6:17,Product2,1200,United States
1/12/09 6:17,Product3,1200,United States
1/13/09 6:17,Product1,1200,United States
1/14/09 6:17,Product2,1200,United States
1/15/09 6:17,Product3,1200,United States
1/16/09 6:17,Product1,1200,United States
1/17/09 6:17,Product2,1200,United States
1/18/09 6:17,Product3,1200,United States
1/19/09 6:17,Product1,1200,United States
1/20/09 6:17,Product2,1200,United States
1/21/09 6:17,Product3,1200,United States
1/22/09 6:17,Product1,1200,United States
1/23/09 6:17,Product2,1200,United States
1/24/09 6:17,Product3,1200,United States
1/25/09 6:17,Product1,1200,United States
1/26/09 6:17,Product2,1200,United States
1/27/09 6:17,Product3,1200,United States
1/28/09 6:17,Product1,1200,United States
1/1/09 6:17,Product2,1200,United States
1/2/09 6:17,Product3,1200,United States
1/3/09 6:17,Product1,1200,United States
1/4/09 6:17,Product2,1200,United States
1/5/09 6:17,Product3,1200,United States
1/6/09 6:17,Product1,1200,United States
1/7/09 6:17,Product2,1200,United States
1/8/09 6:17,Product3,1200,United States
1/9/09 6:17,Product1,1200,United States
1/10/09 6:17,Product2,1200,United States
1/11/09 6:17,Product3,1200,United States
1/12/09 6:17,Product1,1200,United States
1/13/09 6:17,Product2,1200,United States
1/14/09 6:17,Product3,1200,United States
1/15/09 6:17,Product1,1200,United States
1/16/09 6:17,Product2,1200,United States
1/17/09 6:17,Product3,1200,United States
1/18/09 6:17,Product1,1200,United States
1/19/09 6:17,Product2,1200,United States
1/20/09 6:17,Product3,1200,United States
1/21/09 6:17,Product1,1200,United States
1/22/09 6:17,Product2,1200,United States
1/23/09 6:17,Product3,3600,United States
1/24/09 6:17,Product1,3600,United States
1/25/09 6:17,Product2,3600,United States
1/26/09 6:17,Product3,3600,United States
1/27/09 6:17,Product1,3600,United States
1/28/09 6:17,Product2,3600,United States
1/1/09 6:17,Product3,3600,United States
1/2/09 6:17,Product1,3600,United States
1/3/09 6:17,Product2,3600,United States
1/4/09 6:17,Product3,3600,United States
